name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Haldiram Manufacturing Co.,4.2,137,Food Processing , 1k-5k Employees , 42 years old ," Manesar +16 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction",
Sigma Freudenberg NOK,4.1,137,Auto Components , 1k-5k Employees , 24 years old ," Milan +13 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal",
Federal Mogul Powertrain,3.7,137,Auto Components , 1k-5k Employees , 125 years old ," Lake Forest +12 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal",
Target Engineering Construction Company,4.1,137,Engineering & Construction , 10k-50k Employees , 49 years old ," Abu Dhabi +13 more
								   Highly Rated For Job Security, Salary & Benefits, Work Life Balance  Critically Rated For Promotions / Appraisal",
ITC Group,4.0,137,10k-50k Employees ," Bengaluru/Bangalore +35 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",,,
DCW,4.0,137,Chemicals , 1k-5k Employees , Public , 99 years old , Mumbai +10 more
ASK-EHS Engineering & Consultants,3.4,137,Engineering & Construction , 201-500 Employees , 19 years old ," Surat +26 more
								    Critically Rated For Promotions / Appraisal, Job Security, Company Culture",
SAI Consulting Engineers,4.1,137,Engineering & Construction , 501-1k Employees , 41 years old ," Ahmedabad +28 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture",
Semac Consultants,3.9,137,Engineering & Construction , 201-500 Employees , 55 years old ," Gurugram +11 more
								   Highly Rated For Work Life Balance  Critically Rated For Job Security",
Gates,3.9,137,Industrial Automation , 1k-5k Employees , 29 years old ," Denver +10 more
								   Highly Rated For Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
75way Technologies,4.7,137,IT Services & Consulting , 51-200 Employees , 9 years old ," Mohali +2 more
								   Highly Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",
Rama University,3.2,137,Education & Training , 51-200 Employees , 28 years old ," Kanpur +10 more
								    Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",
Xpheno,3.5,137,Recruitment , 201-500 Employees , 8 years old ," Bangalore/Bengaluru +16 more
								    Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",
Haldiram Manufacturing Co.,4.2,137,Food Processing , 1k-5k Employees , 42 years old ," Manesar +16 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction",
Stumpp Schuele & Somappa Springs,3.8,137,Industrial Machinery , 201-500 Employees , 64 years old ," Bengaluru +8 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
Successive Technologies,3.6,137,IT Services & Consulting , 501-1k Employees , 12 years old ," Noida +4 more
								    Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",
Population Services International (PSI),4.4,136,Non-Profit , 51-200 Employees , 54 years old ," Washington D.C +35 more
								   Highly Rated For Work Satisfaction, Salary & Benefits, Work Life Balance",
Doordarshan,4.1,136,Broadcasting , 201-500 Employees (Global) , 65 years old ," New Delhi +29 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Work Satisfaction",
Midco,3.8,136,Telecom , 1-10 Employees , 93 years old ," Sioux Falls +27 more
								   Highly Rated For Company Culture, Work Satisfaction, Job Security",
inTarvo Technologies,3.7,136,BPO , 1k-5k Employees , 29 years old ," Noida +16 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Job Security",
TIL,3.4,136,Industrial Machinery , 1k-5k Employees , Public , 80 years old , Kolkata +16 more
NIELIT,4.4,136,Education & Training , 5k-10k Employees , 30 years old ," New Delhi +34 more
								   Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",
Sharp Business Systems India,3.5,136,Consumer Electronics & Appliances , 51-200 Employees , Forbes Global 2000 , 112 years old , Noida +28 more
Root Industries,4.0,136,Auto Components , 1k-5k Employees , 54 years old ," Coimbatore +8 more
								   Highly Rated For Job Security, Work Life Balance, Work Satisfaction",
Tata Sikorsky Aerospace,4.1,136,Defence & Aerospace , 201-500 Employees , 16 years old ," Hyderabad +2 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",
MSL Driveline Systems,4.2,136,Auto Components , 201-500 Employees , 45 years old ," Mumbai +7 more
								   Highly Rated For Work Satisfaction, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal, Job Security",
Anion Healthcare Services,3.8,136,Healthcare , 51-200 Employees , 25 years old ," Hyderabad/Secunderabad +4 more
								   Highly Rated For Job Security, Company Culture, Work Satisfaction",
Db Power,4.4,136,Power , 501-1k Employees , 14 years old ," Mumbai +9 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Shantha Biotechnics,4.6,136,Biotechnology , 11-50 Employees , 31 years old ," Hyderabad/Secunderabad +3 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
B.L Agro Oils,3.7,136,Food Processing , 1k-5k Employees , 31 years old ," Bareilly +29 more
								    Critically Rated For Job Security, Promotions / Appraisal, Company Culture",
Conceptia Software Technologies,4.7,136,Defence & Aerospace , 51-200 Employees , 20 years old ," Bengaluru/Bangalore +8 more
								   Highly Rated For Work Life Balance, Work Satisfaction, Company Culture",
Hiranandani group,4.1,136,Real Estate , 1k-5k Employees , 46 years old ," Mumbai +16 more
								   Highly Rated For Work Life Balance",
Hyundai Engineering,4.3,136,Automobile , 51-200 Employees , Forbes Global 2000 , 50 years old , Seoul +17 more
Zivame.com,3.6,136,Fashion & Textile , 201-500 Employees , 13 years old ," Bangalore +22 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",
Thirdware Solutions,4.2,136,IT Services & Consulting , 1k-5k Employees , 29 years old ," Mumbai +3 more
								   Highly Rated For Work Life Balance, Salary & Benefits, Job Security",
Harley-Davidson,3.8,136,Automobile , 201-500 Employees , 121 years old ," Milwaukee +27 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",
Jaipur National University,3.1,136,Education & Training , 201-500 Employees , 17 years old ," Jaipur +2 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Partha Dental,4.2,136,Healthcare , 501-1k Employees (Global) , 17 years old ," Hyderabad/Secunderabad +15 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture",
Acer India,4.1,136,IT Services & Consulting , 51-200 Employees , Public , 48 years old , Xizhi  +31 more
Indiafilings,2.8,136,Financial Services , 501-1k Employees (Global) , Startup , 11 years old , Chennai +9 more
KLT Automotive & Tubular Products,4.0,136,Auto Components , 201-500 Employees , 30 years old ," Mumbai +12 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Work Satisfaction  Critically Rated For Promotions / Appraisal, Salary & Benefits",
SAP-Concur,3.9,136,Software Product , 10k-50k Employees , 31 years old ," Bellevue +3 more
								   Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
Dealmoney Securities,3.8,136,Financial Services , 201-500 Employees , 18 years old ," Thane +17 more
								   Highly Rated For Work Life Balance",
RSH Global,4.1,136,FMCG , 51-200 Employees , 36 years old ," Kolkata +24 more
								   Highly Rated For Company Culture, Work Life Balance, Salary & Benefits",
Poonawalla Finance,3.5,136,NBFC , 51-200 Employees , 39 years old ," Pune +67 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
RSH Global,4.1,136,FMCG , 51-200 Employees , 36 years old ," Kolkata +24 more
								   Highly Rated For Company Culture, Work Life Balance, Salary & Benefits",
Sharp Business Systems India,3.5,136,Consumer Electronics & Appliances , 51-200 Employees , Forbes Global 2000 , 112 years old , Noida +28 more
Acer India,4.1,136,IT Services & Consulting , 51-200 Employees , Public , 48 years old , Xizhi  +31 more
NIELIT,4.4,136,Education & Training , 5k-10k Employees , 30 years old ," New Delhi +34 more
								   Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning",
SAP-Concur,3.9,136,Software Product , 10k-50k Employees , 31 years old ," Bellevue +3 more
								   Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
Dahua Technology India Pvt.Ltd.,3.6,136,IT Services & Consulting , 51-200 Employees ," Hangzhou +32 more
								    Critically Rated For Promotions / Appraisal, Job Security, Company Culture",,
Hiranandani group,4.1,136,Real Estate , 1k-5k Employees , 46 years old ," Mumbai +16 more
								   Highly Rated For Work Life Balance",
Zypp Electric,3.9,136,Internet , 501-1k Employees , Startup , 7 years old , Gurgaon +4 more
Ameyo,3.3,136,Software Product , 201-500 Employees , 21 years old ," Gurgaon +6 more
								    Critically Rated For Job Security, Work Satisfaction, Work Life Balance",
Patra India,3.6,136,"Visakhapatnam +8 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal",,,,
Cooper-Standard Automotive,3.9,135,Auto Components , 201-500 Employees , Public , 64 years old , Northville +11 more
Sagarsoft,4.5,135,IT Services & Consulting , 51-200 Employees , Public , 28 years old , Hyderabad/Secunderabad +2 more
Virinchi Technologies,3.7,135,IT Services & Consulting , 1k-5k Employees , 33 years old ," Edison +4 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal",
Sical Logistics,3.6,135,Logistics , 201-500 Employees , Public , 69 years old , Chennai +21 more
Carwale,3.6,135,Internet , 501-1k Employees , 19 years old ," Mumbai +17 more
								   Highly Rated For Job Security, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal",
Zodiac Clothing Company,3.6,135,Fashion & Textile , 1k-5k Employees , Public , 40 years old , Mumbai +22 more
Dynamatic Technologies,3.6,135,Auto Components , 1k-5k Employees , Public , 51 years old , Bangalore/Bengaluru +8 more
BEO Software,4.5,135,IT Services & Consulting , 201-500 Employees , 21 years old ," Kochi/Cochin +1 more
								   Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",
Government Medical College,3.8,135,Education & Training , 1k-5k Employees , State ," Kottayam +51 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Pitti Laminations,3.9,135,Iron & Steel , 201-500 Employees , 41 years old ," Hyderabad/Secunderabad +3 more
								    Critically Rated For Company Culture, Work Satisfaction, Salary & Benefits",
Nyx-medical Solutions,4.1,135,Healthcare , 51-200 Employees ," Bengaluru/Bangalore +3 more
								   Highly Rated For Work Life Balance, Work Satisfaction, Job Security",,
Pitti Laminations,3.9,135,Iron & Steel , 201-500 Employees , 41 years old ," Hyderabad/Secunderabad +3 more
								    Critically Rated For Company Culture, Work Satisfaction, Salary & Benefits",
Ggs Engineering Services,3.6,135,Industrial Machinery , 501-1k Employees , 11 years old ," Secunderabad +4 more
								    Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",
Zones Corporate Solutions,3.3,135,IT Services & Consulting , 51-200 Employees , 16 years old ," Auburn +5 more
								    Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",
Government Medical College,3.8,135,Education & Training , 1k-5k Employees , State ," Kottayam +51 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Techavera Solutions,4.5,135,Education & Training , 51-200 Employees , 14 years old ," Noida +3 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Job Security",
Fortune Marketing,3.8,135,Hardware & Networking , 1k-5k Employees , 30 years old ," Delhi/NCR +19 more
								    Critically Rated For Promotions / Appraisal, Job Security, Company Culture",
BEO Software,4.5,135,IT Services & Consulting , 201-500 Employees , 21 years old ," Kochi/Cochin +1 more
								   Highly Rated For Work Life Balance, Company Culture, Work Satisfaction",
Cooper-Standard Automotive,3.9,135,Auto Components , 201-500 Employees , Public , 64 years old , Northville +11 more
Carwale,3.6,135,Internet , 501-1k Employees , 19 years old ," Mumbai +17 more
								   Highly Rated For Job Security, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal",
Dynamatic Technologies,3.6,135,Auto Components , 1k-5k Employees , Public , 51 years old , Bangalore/Bengaluru +8 more
Zodiac Clothing Company,3.6,135,Fashion & Textile , 1k-5k Employees , Public , 40 years old , Mumbai +22 more
Sami-Sabinsa Group,3.0,135,Pharma , 501-1k Employees , Public , 27 years old , Bangalore/Bengaluru +7 more
Sical Logistics,3.6,135,Logistics , 201-500 Employees , Public , 69 years old , Chennai +21 more
VISION,3.7,135,Management Consulting , 11-50 Employees , 31 years old ," Warren +55 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Japfa Comfeed,4.2,135,Agriculture , 501-1k Employees , Public , 29 years old , Jakarta +19 more
STMicroelectronics,4.2,135,Semiconductors , 1k-5k Employees , Forbes Global 2000 , 37 years old , Geneva +6 more
Nesma Trading,4.3,135,Engineering & Construction , 5k-10k Employees (Global) , 20 years old ," Al Khobar +7 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
RT Network Solutions,3.6,135,IT Services & Consulting , 1k-5k Employees (Global) , 13 years old ," Kolkata +25 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
DESIGNCO,4.0,135,Import & Export , 51-200 Employees , 19 years old ," Moradabad +6 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",
Alp Consulting,3.4,135,Recruitment , 201-500 Employees , Public , 28 years old , Bengaluru/Bangalore +13 more
Horiba India,3.5,135,201-500 Employees , 71 years old ," Kyoto +14 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,
Amphenol Fci,4.0,135,Electrical Equipment , 501-1k Employees , 43 years old ," Kochi +7 more
								   Highly Rated For Job Security, Work Life Balance",
Magic EdTech,3.2,135,EdTech , 501-1k Employees , 34 years old ," New York +5 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Fortune Integrated Assets Finance,4.0,135,Financial Services , 51-200 Employees , 12 years old ," Mumbai +67 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
Ggs Engineering Services,3.6,135,Industrial Machinery , 501-1k Employees , 11 years old ," Secunderabad +4 more
								    Critically Rated For Promotions / Appraisal, Job Security, Skill Development / Learning",
Health Insurance TPA of India,3.8,135,Insurance , 51-200 Employees , 11 years old ," Noida +12 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Laminaar Aviation Infotech,2.7,135,IT Services & Consulting , 201-500 Employees , 31 years old ," Singapore +5 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Laxmi-Agni Components and Forging,3.6,135,Industrial Machinery , 201-500 Employees , 25 years old ," Aurangabad +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
NMIMS,3.8,134,Education & Training , 1k-5k Employees (Global) , 43 years old ," Mumbai +20 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal",
Neosym Industry,3.5,134,Auto Components , 501-1k Employees , 92 years old ," Pune +7 more
								    Critically Rated For Work Satisfaction, Company Culture, Promotions / Appraisal",
Mindcrest,2.4,134,Legal , 201-500 Employees , 23 years old ," Chicago +2 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
InMobi,3.8,134,Marketing & Advertising , 1k-5k Employees , Indian Unicorn , 17 years old , San Francisco +4 more
Kama Ayurveda,4.2,134,Beauty & Personal Care , 201-500 Employees , 22 years old ," Noida +24 more
								   Highly Rated For Salary & Benefits, Company Culture, Skill Development / Learning",
Ginger Hotels,4.2,134,Hospitality , 501-1k Employees , 21 years old ," Mumbai +32 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Government of Bihar,3.7,134,Government , 201-500 Employees (Global) , 77 years old ," Patna +27 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Asianet Satellite Communications,3.9,134,Internet , 1k-5k Employees , 31 years old ," Trivandrum/Thiruvananthapuram +21 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal",
Indian Terrain Fashions,3.8,134,Fashion & Textile , 201-500 Employees , Public , 24 years old , Chennai +35 more
Modicare,4.4,134,Beauty & Personal Care , 51-200 Employees , Public , 28 years old , Delhi/NCR +35 more
Swastik Infralogics Private Limited,4.2,134,Engineering & Construction , 1k-5k Employees , 21 years old ," Navi Mumbai +13 more
								   Highly Rated For Company Culture, Skill Development / Learning, Job Security",
Altius Customer Services,3.7,134,BPO , 201-500 Employees , 21 years old ," Mumbai +6 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
ILS Hospitals,3.8,134,Healthcare , 501-1k Employees (Global) , 24 years old ," Kolkata +4 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Work Satisfaction",
Coastal Marine Construction & Engineering,4.1,134,Engineering & Construction , 501-1k Employees , 29 years old ," Mira Bhayander +18 more
								   Highly Rated For Job Security, Work Satisfaction, Work Life Balance",
Irclass Systems And Solutions,3.8,134,Ports & Shipping , 501-1k Employees , 49 years old ," Mumbai +23 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",
Safran Engineering Services India,3.4,134,Aviation , 51-200 Employees , 23 years old ," Blagnac +3 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Vanesa Care,3.9,134,Beauty & Personal Care , 501-1k Employees , 41 years old ," Delhi/NCR +31 more
								    Critically Rated For Promotions / Appraisal",
Vitromed Healthcare,4.0,134,Medical Equipment , 51-200 Employees , 52 years old ," Jaipur +4 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",
Toyo INK,4.2,134,Chemicals , 11-50 Employees , 18 years old ," tokyo +10 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
Comcast,4.2,134,Media & Entertainment , 1k-5k Employees , Forbes Global 2000 , 2024 years old , Chennai +5 more
Adfactors PR,3.6,134,Marketing & Advertising , 1k-5k Employees , 27 years old ," Mumbai +9 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Thomson Press India,4.1,134,Printing & Publishing , 201-500 Employees , 57 years old ," Faridabad +9 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Wave Infratech,3.8,134,Real Estate , 1k-5k Employees , Conglomerate , 61 years old , Noida +7 more
Manipal Business Solutions,3.9,134,"Gurgaon/Gurugram +44 more
								   Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",,,,
Keolis Hyderabad Metro,3.9,134,Urban Transport , 1k-5k Employees , MNC ," Hyderabad/Secunderabad +2 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal",
CDM Smith,3.9,134,Engineering & Construction , 501-1k Employees , 77 years old ," Boston +26 more
								   Highly Rated For Company Culture  Critically Rated For Promotions / Appraisal",
Diksha Technologies,3.6,134,IT Services & Consulting , 501-1k Employees , 24 years old ," Bangalore/Bengaluru +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
MedTourEasy,4.8,134,Healthcare , 501-1k Employees , 9 years old ," New Delhi +2 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",
iNeuron.ai,4.1,134,51-200 Employees ," Bengaluru/Bangalore +3 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",,,
PaywithRING,4.5,134,FinTech , 501-1k Employees , 2 years old ," Mumbai +16 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",
Suven Life Sciences,3.8,133,Pharma , 51-200 Employees , Public , 35 years old , Hyderabad/Secunderabad +6 more
Hanu Software Solutions,3.6,133,IT Services & Consulting , 201-500 Employees , 22 years old ," Princeton +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Capricorn Logistics,3.7,133,Logistics , 1k-5k Employees , 23 years old ," Mumbai +22 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Relyon Softech,3.9,133,Software Product , 501-1k Employees , Public , 23 years old , Bangalore +14 more
Stratosphere IT Services,3.6,133,Recruitment , 201-500 Employees , 12 years old ," Noida +12 more
								    Critically Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",
Kumar Organic Products,3.6,133,Chemicals , 201-500 Employees , 33 years old ," Bangalore +8 more
								   Highly Rated For Job Security  Critically Rated For Company Culture, Promotions / Appraisal",
Solaris Chemtech,4.5,133,Chemicals , 201-500 Employees , 54 years old ," Gurgaon +12 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Bss Microfinance,4.0,133,Financial Services , 51-200 Employees , 25 years old ," Bengaluru +54 more
								   Highly Rated For Salary & Benefits, Job Security",
Bambino Agro Industries,3.9,133,Food Processing , 201-500 Employees , Public , 42 years old , Hyderabad/Secunderabad +19 more
Gamma Process Hub,3.6,133,BPO , 51-200 Employees , 8 years old ," Chennai +4 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Job Security",
Fukoku,3.8,133,Automobile , 51-200 Employees , 71 years old ," Ageo +3 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Rossell Techsys,4.3,133,Defence & Aerospace , 51-200 Employees , 15 years old ," Bangalore/Bengaluru +3 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Interface Microsystems,3.9,133,Auto Components , 51-200 Employees , 40 years old ," Gurgaon/Gurugram +8 more
								   Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal",
Kriti Industries,4.0,133,Building Material , 501-1k Employees , 41 years old ,"  Indore +26 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal",
Greytip Software,3.8,133,Software Product , 501-1k Employees , 30 years old ," Bangalore +10 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",
Hitachi Automotive Systems,3.9,133,Auto Components , 5k-10k Employees , 15 years old ," Tokyo +10 more
								   Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Q Way Technologies,3.4,133,BPO , 501-1k Employees , 14 years old ," Chennai +1 more
								    Critically Rated For Job Security, Company Culture, Promotions / Appraisal",
SEForge,3.4,133,Engineering & Construction , 201-500 Employees , 18 years old ," Coimbatore +6 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Embio Limited mahad Raigad,3.8,133,Pharma , 51-200 Employees , 38 years old ," Mumbai +7 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Enaltec Labs,3.5,133,Pharma , 51-200 Employees , 18 years old ," Navi Mumbai +5 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Pratibha Syntex,4.2,133,Fashion & Textile , 501-1k Employees , 27 years old ," Indore +11 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Tamilnad Mercantile Bank,2.9,133,Banking , 1k-5k Employees , Fortune India 500 , 103 years old , Chennai +40 more
Relyon Softech,3.9,133,Software Product , 501-1k Employees , Public , 23 years old , Bangalore +14 more
Greytip Software,3.8,133,Software Product , 501-1k Employees , 30 years old ," Bangalore +10 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",
Virohan,4.1,133,EdTech , 501-1k Employees , Startup , 5 years old , Gurgaon/Gurugram +8 more
Virtuoso,3.9,133,201-500 Employees , 8 years old ," Pune +3 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture  Critically Rated For Salary & Benefits, Promotions / Appraisal",,
LOTS Wholesale Solutions,3.4,133,Food Processing , 501-1k Employees , 7 years old ," Gurgaon +3 more
								    Critically Rated For Company Culture, Promotions / Appraisal, Work Life Balance",
Tata Strive Skill Development Centre,3.6,133,Education & Training , 501-1k Employees , 9 years old ," Mumbai +36 more
								   Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Mehin,3.9,133,Software Product , 201-500 Employees ," New Delhi +45 more
								   Highly Rated For Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",,
Webdew,4.5,133,IT Services & Consulting , 51-200 Employees , 8 years old ," Mohali +6 more
								   Highly Rated For Company Culture, Skill Development / Learning, Job Security",
Fipola Retail,3.6,133,Food Processing , 1k-5k Employees , Startup , 8 years old , Chennai +6 more
ANI INTEGRATED SERVICES,3.6,133,Engineering & Construction , 1k-5k Employees , Public , 36 years old , Mumbai +32 more
Gamma Process Hub,3.6,133,BPO , 51-200 Employees , 8 years old ," Chennai +4 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Job Security",
Da Milano Leathers,2.9,133,Leather , 51-200 Employees , 35 years old ," New Delhi +25 more
								    Critically Rated For Job Security, Company Culture, Work Life Balance",
Hitachi Automotive Systems,3.9,133,Auto Components , 5k-10k Employees , 15 years old ," Tokyo +10 more
								   Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Pratibha Syntex,4.2,133,Fashion & Textile , 501-1k Employees , 27 years old ," Indore +11 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
American Oncology Institute,4.2,133,Healthcare , 1-10 Employees , 12 years old ," Pittsburgh +16 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Job Security",
Bss Microfinance,4.0,133,Financial Services , 51-200 Employees , 25 years old ," Bengaluru +54 more
								   Highly Rated For Salary & Benefits, Job Security",
Club Oxygen,4.2,133,Hospitality , 201-500 Employees , Public , 6 years old , Mumbai +26 more
Anthology,3.8,133,EdTech , 1k-5k Employees ," Bengaluru/Bangalore +7 more
								    Critically Rated For Promotions / Appraisal, Job Security",,
Repro India,3.8,132,FMCG , 501-1k Employees , Public , 40 years old , Mumbai +11 more
Repro India,3.8,132,FMCG , 501-1k Employees , Public , 40 years old , Mumbai +11 more
ExcelSoft Technologies,3.5,132,IT Services & Consulting , 501-1k Employees , 24 years old ," Mysore +4 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Life Balance",
Chembond Chemicals,3.8,132,Chemicals , 51-200 Employees , Public , 51 years old , Mumbai +18 more
Bharat Broadband Network,4.2,132,Telecom , 51-200 Employees (Global) , Central ," New Delhi +53 more
								   Highly Rated For Work Satisfaction, Company Culture  Critically Rated For Job Security, Promotions / Appraisal",
Atidiv,3.3,132,IT Services & Consulting , 201-500 Employees , 15 years old ," Pune
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Senvion,4.3,132,Power , 51-200 Employees , Startup , 7 years old , Hamburg +18 more
United Nations Development Programme,4.5,132,Non-Profit , 201-500 Employees , Public , 59 years old , New York +40 more
Shirdi Sai Electricals,4.0,132,Power , 201-500 Employees , 30 years old ," Hyderabad +18 more
								   Highly Rated For Work Life Balance, Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Sheth Creators,3.1,132,Real Estate , 201-500 Employees , 13 years old ," Mumbai +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Gallantt Ispat,3.9,132,Iron & Steel , 501-1k Employees , Public , 19 years old , Gorakhpur +12 more
Oswal Castings,3.8,132,Metals & Mining , 51-200 Employees , 19 years old ," Faridabad +4 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Rushil Decor,4.1,132,Building Material , 501-1k Employees , Public , 30 years old , Ahmedabad +23 more
Bharat Benz,4.0,132,Automobile , 1k-5k Employees , 13 years old ," Chennai +57 more
								   Highly Rated For Company Culture, Skill Development / Learning, Job Security",
Nehru Yuva Kendra Sangathan,4.5,132,Non-Profit , 52 years old ," New Delhi +68 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Work Life Balance",,
